file,name,age,location,profession,tags
user_46.txt,Siobhán O'Rourke,58,"Dublin, Ireland","Deaf Interpreter and Accessibility Consultant, specializes in Irish Sign Language (ISL) interpretation for courts, hospitals, and broadcast, and advises organizations on accessible service design.",Accessibility;Arts/Culture;Europe;NLP;Western Europe
user_47.txt,Tasnim Rahman,30,"Dhaka, Bangladesh","Language Technologist and Data Curator, builds Bangla and code-mixed Banglish corpora for ASR/NLU and designs annotation guidelines for low-resource settings.",Asia;NLP;South Asia
user_48.txt,Dawit Tesfaye,44,"Addis Ababa, Ethiopia","Coffee Cooperative Logistics and Quality Manager, coordinates washing station schedules, transport, and cupping standards across smallholder networks.",Africa;East Africa;Mobility/Logistics
user_49.txt,Aigerim Beketova,37,"Almaty, Kazakhstan","Air Quality Scientist and Civic Technologist, deploys low-cost sensor networks and calibrates them with reference stations to inform policy and citizen behavior.",Environment;Public Sector
user_5.txt,Linh Trần,27,"Ho Chi Minh City, Vietnam","Clinical Research Coordinator, Oncology, orchestrates protocols, patient schedules, and data integrity across multi-site trials.",Asia;Healthcare;Southeast Asia
user_50.txt,Basel Al-Hamid,34,"Berlin, Germany (born in Homs, Syria)","Mobile Device Repair Shop Owner and Community Tech Trainer, refurbishes smartphones and runs low-cost workshops on digital security for refugees.",Manufacturing;Security/Risk
user_6.txt,Sara Haddad,36,"Marseille, France","Marine Ecologist, Port Authority Consultant, designs biodiversity monitoring programs around urban harbors.",Environment;Europe;Western Europe
user_7.txt,Devon McAllister,33,"Glasgow, Scotland","Audio Software QA Lead, tests and builds tooling for DAWs and plugins used by touring musicians.",Europe;Western Europe
user_8.txt,Zahra Rahimi,45,"Toronto, Canada","Family Immigration Lawyer, specializes in complex sponsorship cases and humanitarian applications.",Americas;Legal;North America
user_9.txt,Hiroshi Sato,58,"Sapporo, Japan","Snow Management Engineer, municipal contractor who plans and optimizes plowing routes and de-icing schedules.",Asia;East Asia;Public Sector
